angle	Normangle	Sxx	Syy	Szz	Sxy	Szx	Syz	Srr	Stt	Srt	S13D   S23D	S33D	S12D	S22D	Smises3D	Smises2D	Saverage3D	Saverage2D	I13D	I23D	I33D	I12D	I22D
71.999820	0.399999	30.620900	-0.741671	11.951700	19.914600	0.000000	0.000000	13.958855	15.920374	-25.328484	40.287080	11.951700	11.951700	40.287080	-10.407851	44.004655	46.375361	13.943643	14.939615	41.830929	-62.194345	-5011.370837	29.879229	-419.301927
73.799820	0.409999	27.329100	0.486087	11.126100	18.861300	0.000000	0.000000	12.681976	15.133211	-23.116733	37.056794	11.126100	11.126100	37.056794	-9.241607	40.191954	42.439104	12.980429	13.907594	38.941287	-32.989765	-3810.292242	27.815187	-342.464317
75.599820	0.419999	24.336500	1.787570	10.449600	17.539300	0.000000	0.000000	11.631899	14.492171	-20.801330	33.912469	10.449600	10.449600	33.912469	-7.788399	36.208378	38.403627	12.191223	13.062035	36.573670	8.862235	-2759.988554	26.124070	-264.123847
77.399820	0.429999	21.191200	2.495350	9.474620	15.880000	0.000000	0.000000	10.146510	13.540040	-18.348817	30.270377	9.474620	9.474620	30.270377	-6.583827	32.004450	34.043171	11.053723	11.843275	33.161170	25.126121	-1888.243816	23.686550	-199.294939
79.199820	0.439999	18.604400	3.435130	8.815800	14.011200	0.000000	0.000000	9.125716	12.913814	-15.819387	26.952135	8.815800	8.815800	26.952135	-4.912605	27.683546	29.714583	10.285110	11.019765	30.855330	61.890896	-1167.257699	22.039530	-132.405193
80.999820	0.449999	16.120000	3.939680	8.023890	11.926700	0.000000	0.000000	7.923390	12.136290	-13.224942	23.421487	8.023890	8.023890	23.421487	-3.361807	23.281591	25.270662	9.361190	10.029840	28.083570	82.218134	-631.789314	20.059680	-78.738531
82.799820	0.459999	14.129400	4.486300	7.446270	9.696890	0.000000	0.000000	7.049363	11.566337	-10.591329	20.137302	7.446270	7.446270	20.137302	-1.521602	18.849311	20.939607	8.687323	9.307850	26.061970	107.976580	-228.160775	18.615700	-30.640948
84.599820	0.469999	12.514100	4.841530	6.942240	7.320410	0.000000	0.000000	6.281239	11.074391	-7.909609	16.942528	6.942240	6.942240	16.942528	0.413102	14.419732	16.739801	8.099290	8.677815	24.297870	127.485937	48.588654	17.355630	6.998988
86.399820	0.479999	11.184100	4.865640	6.419900	4.915630	0.000000	0.000000	5.506676	10.543064	-5.272841	13.868170	6.419900	6.419900	13.868170	2.181570	10.247360	12.916307	7.489880	8.024870	22.469640	133.292112	194.230133	16.049740	30.254386
88.199820	0.489999	10.633300	5.153400	6.314670	2.468670	0.000000	0.000000	5.313832	10.472868	-2.635858	11.581393	6.314670	6.314670	11.581393	4.205307	6.580061	10.154307	7.367123	7.893350	22.101370	148.391118	307.545373	15.786700	48.703317
89.999820	0.499999	120.323000	5.363460	25.137300	0.000118	0.000000	0.000000	5.363460	120.323000	-0.000479	120.323000	25.137300	25.137300	120.323000	5.363460	106.458955	117.732933	50.274587	62.843230	150.823760	3804.765849	16222.296164	125.686460	645.347598
91.799820	0.509999	10.631500	5.150520	6.312820	-2.467050	0.000000	0.000000	5.310819	10.471201	2.634242	11.578370	6.312820	6.312820	11.578370	4.203650	6.578795	10.151744	7.364947	7.891010	22.094840	148.300469	307.253899	15.782020	48.671418
93.599820	0.519999	11.177300	4.858130	6.414190	-4.909410	0.000000	0.000000	5.498323	10.537107	5.266683	13.855975	6.414190	6.414190	13.855975	2.179455	10.238513	12.905022	7.483207	8.017715	22.449620	133.052765	193.698724	16.035430	30.198470
95.399820	0.529999	12.510100	4.843550	6.941460	-7.311800	0.000000	0.000000	6.281493	11.072157	7.900557	16.932515	6.941460	6.941460	16.932515	0.421135	14.404192	16.725924	8.098370	8.676825	24.295110	127.590543	49.498688	17.353650	7.130876
97.199820	0.539999	14.123500	4.486620	7.444030	-9.688330	0.000000	0.000000	7.047323	11.562797	10.582236	20.125462	7.444030	7.444030	20.125462	-1.515342	18.833660	20.924327	8.684717	9.305060	26.054150	108.037331	-227.020290	18.610120	-30.496961
98.999820	0.549999	16.113800	3.941430	8.022080	-11.920400	0.000000	0.000000	7.922832	12.132398	13.217695	23.411844	8.022080	8.022080	23.411844	-3.356614	23.268754	25.257985	9.359103	10.027615	28.077310	82.300138	-630.411318	20.055230	-78.584521
100.799820	0.559999	18.599400	3.436020	8.814190	-14.007200	0.000000	0.000000	9.124728	12.910692	15.814560	26.945160	8.814190	8.814190	26.945160	-4.909740	27.675016	29.705908	10.283203	11.017710	30.849610	61.930637	-1166.062173	22.035420	-132.293741
102.599820	0.569999	21.191900	2.496780	9.475460	-15.879700	0.000000	0.000000	10.147547	13.541133	18.348369	30.270999	9.475460	9.475460	30.270999	-6.582319	32.003700	34.042821	11.054713	11.844340	33.164140	25.207780	-1888.017243	23.688680	-199.253360
104.399820	0.579999	24.332700	1.789800	10.449000	-17.538100	0.000000	0.000000	11.632917	14.489583	20.798808	33.909045	10.449000	10.449000	33.909045	-7.786545	36.203804	38.399061	12.190500	13.061250	36.571500	8.919717	-2758.894246	26.122500	-264.034285
106.199820	0.589999	27.322200	0.488440	11.124300	-18.858600	0.000000	0.000000	12.681872	15.128768	23.111959	37.049638	11.124300	11.124300	37.049638	-9.238998	40.183485	42.430370	12.978313	13.905320	38.934940	-32.927636	-3807.865006	27.810640	-342.301539
107.999820	0.599999	30.612800	-0.735755	11.950800	-19.913400	0.000000	0.000000	13.962409	15.914636	25.323382	40.280710	11.950800	11.950800	40.280710	-10.403665	43.995521	46.366355	13.942615	14.938523	41.827845	-62.012431	-5008.186145	29.877045	-419.067020
109.799820	0.609999	33.792700	-2.367910	12.569900	-20.640500	0.000000	0.000000	14.937858	16.486932	27.428594	43.151922	12.569900	12.569900	43.151922	-11.727132	47.630434	50.056592	14.664897	15.712395	43.994690	-111.041845	-6360.976683	31.424790	-506.048313
111.599820	0.619999	36.926500	-4.335660	13.036400	-21.054900	0.000000	0.000000	15.668896	16.921944	29.471304	45.773383	13.036400	13.036400	45.773383	-13.182543	51.161236	53.594697	15.209080	16.295420	45.627240	-178.542336	-7866.288427	32.590840	-603.409563
113.399820	0.629999	40.086200	-6.451570	13.453900	-21.227900	0.000000	0.000000	16.362942	17.271688	31.493782	48.314374	13.453900	13.453900	48.314374	-14.679744	54.658090	57.087795	15.696177	16.817315	47.088530	-256.725715	-9542.079874	33.634630	-709.242664
115.199820	0.639999	42.891700	-9.380580	13.404400	-21.034100	0.000000	0.000000	16.302599	17.208521	33.545879	50.304497	13.404400	13.404400	50.304497	-16.793377	58.205015	60.475965	15.638507	16.755560	46.915520	-395.585929	-11323.801015	33.511120	-844.782386
116.999820	0.649999	46.083500	-12.133600	13.580000	-20.682300	0.000000	0.000000	16.597481	17.352419	35.706060	52.683005	13.580000	13.580000	52.683005	-18.733105	61.941273	64.135361	15.843300	16.974950	47.529900	-525.876647	-13402.323203	33.949900	-986.916289
118.799820	0.659999	48.890200	-15.817300	13.229200	-20.005000	0.000000	0.000000	16.090985	16.981915	38.036387	54.575445	13.229200	13.229200	54.575445	-21.502545	65.968427	67.929005	15.434033	16.536450	46.302100	-735.982977	-15524.611529	33.072900	-1173.510985
120.599820	0.669999	52.274300	-19.303900	13.188100	-19.173700	0.000000	0.000000	16.045456	16.924944	40.599225	57.086807	13.188100	13.188100	57.086807	-24.116407	70.401294	72.230417	15.386167	16.485200	46.158500	-941.911699	-18156.434865	32.970400	-1376.728631
