angle    Normangle    Sxx    Syy    Szz    Sxy    Szx    Syz    Srr    Stt    Srt    S13D   S23D    S33D    S12D    S22D    Smises3D    Smises2D    Saverage3D    Saverage2D    I13D    I23D    I33D    I12D    I22D
77.399820    0.429999    -1.846740    -37.653900    -15.800200    20.010800    0.000000    0.000000    -27.429618    -12.071022    -25.729335    7.100570    -15.800200    -15.800200    7.100570    -46.601210    46.674558    50.527082    -18.433613    -19.750320    -55.300840    293.222859    5228.209602    -39.500640    -330.895153
79.199820    0.439999    -5.800810    -37.302300    -17.241200    17.561500    0.000000    0.000000    -29.731269    -13.371841    -22.126557    2.038533    -17.241200    -17.241200    2.038533    -45.141643    41.085958    46.194656    -20.114770    -21.551555    -60.344310    651.126613    1586.582247    -43.103110    -92.022727
80.999820    0.449999    -9.886150    -37.661500    -19.019100    15.023500    0.000000    0.000000    -32.339155    -15.208495    -18.579779    -3.314767    -19.019100    -19.019100    -3.314767    -44.232883    35.753694    42.672168    -22.188917    -23.773825    -66.566750    1050.935196    -2788.612508    -47.547650    146.621686
82.799820    0.459999    -12.657000    -37.218600    -19.950300    12.256400    0.000000    0.000000    -33.784640    -16.090960    -14.925509    -7.587371    -19.950300    -19.950300    -7.587371    -42.288229    30.462884    39.051326    -23.275300    -24.937800    -69.825900    1315.889662    -6401.183018    -49.875600    320.856479
84.599820    0.469999    -14.980400    -36.997700    -20.791200    9.327040    0.000000    0.000000    -35.054923    -16.923177    -11.224705    -11.560466    -20.791200    -20.791200    -11.560466    -40.417634    25.525865    36.055275    -24.256433    -25.989050    -72.769300    1547.933743    -9714.618964    -51.978100    467.246670
86.399820    0.479999    -16.814900    -36.964000    -21.511600    6.259990    0.000000    0.000000    -36.099927    -17.678973    -7.473362    -15.028420    -21.511600    -21.511600    -15.028420    -38.750480    21.236134    33.839247    -25.096833    -26.889450    -75.290500    1739.228674    -12527.462868    -53.778900    582.358489
88.199820    0.489999    -17.428700    -36.522500    -21.580500    3.123650    0.000000    0.000000    -36.307502    -17.643698    -3.717000    -16.930676    -21.580500    -21.580500    -16.930676    -37.020524    18.215613    32.099602    -25.177233    -26.975600    -75.531700    1791.076378    -13526.279880    -53.951200    626.782506
89.999820    0.499999    100.916000    -36.185800    12.946000    0.001730    0.000000    0.000000    -36.185800    100.916000    -0.002161    100.916000    12.946000    12.946000    100.916000    -36.185800    120.311176    123.065744    25.892067    32.365100    77.676200    -2813.729027    -47275.247331    64.730200    -3651.726196
91.799820    0.509999    -17.428400    -36.519100    -21.579000    -3.114990    0.000000    0.000000    -36.304696    -17.642804    3.708142    -16.932990    -21.579000    -21.579000    -16.932990    -37.014510    18.208623    32.094140    -25.175500    -26.973750    -75.526500    1790.899422    -13524.990414    -53.947500    626.766320
93.599820    0.519999    -16.816800    -36.960800    -21.511100    -6.249040    0.000000    0.000000    -36.098214    -17.679386    7.462063    -15.035712    -21.511100    -21.511100    -15.035712    -38.741888    21.222788    33.830380    -25.096233    -26.888800    -75.288700    1739.327212    -12530.471313    -53.777600    582.511881
