angle    Normangle    Sxx    Syy    Szz    Sxy    Szx    Syz    Srr    Stt    Srt    S13D   S23D    S33D    S12D    S22D    Smises3D    Smises2D    Saverage3D    Saverage2D    I13D    I23D    I33D    I12D    I22D
91.799820    0.509999    12.151500    6.571020    7.956040    -0.904502    0.000000    0.000000    6.633313    12.089207    1.077901    12.294443    7.956040    7.956040    12.294443    6.428077    5.271179    10.651004    8.892853    9.361260    26.678560    227.986744    628.762863    18.722520    79.029626
93.599820    0.519999    12.411700    5.595140    7.098670    -3.748340    0.000000    0.000000    6.091781    11.915059    4.145936    14.069624    7.098670    7.098670    14.069624    3.937216    8.979273    12.572225    8.368503    9.003420    25.105510    183.219761    393.231864    18.006840    55.395146
95.399820    0.529999    13.606700    5.453000    7.145860    -6.361640    0.000000    0.000000    6.717221    12.342479    7.012866    17.085720    7.145860    7.145860    17.085720    1.973980    13.302515    16.189242    8.735187    9.529850    26.205560    169.924819    241.007503    19.059700    33.726872
97.199820    0.539999    14.332300    5.640980    7.699070    -8.801660    0.000000    0.000000    7.966330    12.006950    9.605849    19.802646    7.699070    7.699070    19.802646    0.170634    17.155026    19.717883    9.224117    9.986640    27.672350    157.154680    26.015149    19.973280    3.378999
98.999820    0.549999    16.165200    4.748000    7.632110    -11.057200    0.000000    0.000000    8.444184    12.469016    12.280064    22.900465    7.632110    7.632110    22.900465    -1.987265    21.737688    23.955998    9.515103    10.456600    28.545310    114.102541    -347.332001    20.913200    -45.509302
100.799820    0.559999    18.431700    4.429660    8.237960    -13.008100    0.000000    0.000000    9.709805    13.151555    14.671862    26.203119    8.237960    8.237960    26.203119    -3.341759    25.785040    28.023834    10.366440    11.430680    31.099320    100.766468    -721.352860    22.861360    -87.564501
102.599820    0.569999    20.880300    4.024910    8.982630    -14.926400    0.000000    0.000000    11.182243    13.722967    17.094141    29.593884    8.982630    8.982630    29.593884    -4.688674    29.891656    32.195306    11.295947    12.452605    33.887840    84.958198    -1246.394605    24.905210    -138.756089
104.399820    0.579999    23.737000    3.095930    9.590480    -16.483300    0.000000    0.000000    12.313280    14.519650    19.416375    32.864154    9.590480    9.590480    32.864154    -6.031224    33.900974    36.257956    12.141137    13.416465    36.423410    59.129590    -1900.939480    26.832930    -198.211088
106.199820    0.589999    26.643100    2.419270    10.462500    -17.621200    0.000000    0.000000    13.746534    15.315836    21.367955    35.913542    10.462500    10.462500    35.913542    -6.851172    37.258150    39.784053    13.174957    14.531185    39.524870    58.015209    -2574.296419    29.062370    -246.049837
107.999820    0.599999    29.564200    1.185250    11.131300    -18.631700    0.000000    0.000000    14.846490    15.902960    23.413723    38.794406    11.131300    11.131300    38.794406    -8.044956    40.785426    43.380024    13.960250    15.374725    41.880750    30.182076    -3474.070680    30.749450    -312.099277
109.799820    0.609999    32.552500    -0.259865    11.721700    -18.873900    0.000000    0.000000    15.535656    16.756979    25.000280    41.154055    11.721700    11.721700    41.154055    -8.861420    43.540074    46.226230    14.671445    16.146318    44.014335    13.841223    -4274.708901    32.292635    -364.683357
111.599820    0.619999    35.041500    -1.579540    12.389200    -19.038000    0.000000    0.000000    16.415427    17.046533    26.412516    43.145381    12.389200    12.389200    43.145381    -9.683421    45.956641    48.714345    15.283720    16.730980    45.851160    -3.227980    -5176.144512    33.461960    -417.794895
113.399820    0.629999    37.850900    -4.010950    12.412200    -19.141200    0.000000    0.000000    16.544927    17.295023    28.361038    45.283493    12.412200    12.412200    45.283493    -11.443543    49.333432    51.959148    15.417383    16.919975    46.252150    -98.175377    -6432.046783    33.839950    -518.203605
115.199820    0.639999    41.039300    -6.118820    12.692800    -18.738400    0.000000    0.000000    16.868378    18.052102    30.112280    47.578336    12.692800    12.692800    47.578336    -12.657856    52.383467    55.010536    15.871093    17.460240    47.613280    -159.001056    -7644.108371    34.920480    -602.239724
116.999820    0.649999    43.651300    -7.989970    13.219700    -18.223800    0.000000    0.000000    17.396842    18.264488    31.601011    49.434653    13.219700    13.219700    49.434653    -13.773323    54.933571    57.570555    16.293677    17.830665    48.881030    -209.447380    -9001.022249    35.661330    -680.879464
118.799820    0.659999    46.715800    -11.314000    12.934900    -17.477200    0.000000    0.000000    16.910214    18.491586    33.862837    51.572967    12.934900    12.934900    51.572967    -16.171167    58.861410    61.280280    16.112233    17.700900    48.336700    -376.076338    -10787.642974    35.401800    -833.995081
120.599820    0.669999    49.631100    -14.409700    12.922400    -16.339900    0.000000    0.000000    16.503292    18.718108    35.931490    53.559251    12.922400    12.922400    53.559251    -18.337851    62.440974    64.707278    16.047933    17.610700    48.143800    -527.016574    -12691.884978    35.221400    -982.161594
122.399820    0.679999    52.339600    -18.026400    12.641900    -14.995800    0.000000    0.000000    15.744773    18.568427    38.219422    55.402090    12.641900    12.641900    55.402090    -21.088890    66.396800    68.428806    15.651700    17.156600    46.955100    -734.584540    -14770.398790    34.313200    -1168.368583
124.199820    0.689999    56.479700    -22.253400    12.034500    -13.541400    0.000000    0.000000    15.211570    19.014730    41.587002    58.743605    12.034500    12.034500    58.743605    -24.517305    72.284694    74.109002    15.420267    17.113150    46.260800    -1028.338463    -17332.506542    34.226300    -1440.234870
125.999820    0.699999    60.606000    -25.412800    12.426700    -11.634000    0.000000    0.000000    15.370276    19.822924    44.499460    62.151717    12.426700    12.426700    62.151717    -26.958517    77.344704    79.152484    15.873300    17.596600    47.619900    -1238.182774    -20821.160932    35.193200    -1675.518113
127.799820    0.709999    65.216400    -29.171100    12.574000    -9.582340    0.000000    0.000000    15.567033    20.478267    48.094087    66.179387    12.574000    12.574000    66.179387    -30.134087    83.587688    85.334810    16.206433    18.022650    48.619300    -1541.021764    -25075.766971    36.045300    -1994.255366
129.599820    0.719999    71.422500    -32.638900    13.031000    -7.207190    0.000000    0.000000    16.721420    22.062180    52.459569    71.919291    13.031000    13.031000    71.919291    -33.135691    91.202367    93.023943    17.271533    19.391800    51.814600    -1877.706331    -31054.116456    38.783600    -2383.095423
131.399820    0.729999    76.951500    -34.975500    14.578800    -4.285730    0.000000    0.000000    18.225497    23.750503    56.059338    77.115362    14.578800    14.578800    77.115362    -35.139362    97.426487    99.455209    18.851600    20.988000    56.554800    -2097.824961    -39505.408745    41.976000    -2709.784670
133.199820    0.739999    83.568600    -37.977500    15.589600    41.029200    0.000000    0.000000    -21.969025    67.560125    58.076602    96.121936    15.589600    15.589600    96.121936    -50.530836    127.209285    129.034545    20.393567    22.795550    61.180700    -4146.374747    -75720.585376    45.591100    -4857.121759
134.999820    0.749999    134.872000    -39.614100    17.581800    -1.104540    0.000000    0.000000    48.732942    46.524958    87.243057    134.878992    17.581800    17.581800    134.878992    -39.621092    154.079657    158.449444    37.613233    47.628950    112.839700    -3669.247558    -93958.069344    95.257900    -5344.052904
134.999820    0.749999    91.992800    2.972120    27.568800    2.235670    0.000000    0.000000    45.246510    49.718410    44.510326    92.048911    27.568800    27.568800    92.048911    2.916009    79.718628    90.626099    40.844573    47.482460    122.533720    2886.484307    7399.891042    94.964920    268.415420
136.799820    0.759999    98.682800    -39.859600    20.853300    6.082650    0.000000    0.000000    27.690091    31.133109    69.516431    98.949344    20.853300    20.853300    98.949344    -40.126144    120.746585    123.981997    26.558833    29.411600    79.676500    -2743.797729    -82797.101052    58.823200    -3970.455566
138.599820    0.769999    107.024000    -40.938100    23.097900    10.354700    0.000000    0.000000    32.041715    34.044185    74.695469    107.745129    23.097900    23.097900    107.745129    -41.659229    129.769606    133.540568    29.727933    33.042950    89.183800    -2962.133517    -103676.749496    66.085900    -4488.579026
140.400000    0.780000    116.410000    -39.906900    26.846700    14.560000    0.000000    0.000000    38.594881    37.908219    79.502321    117.754612    26.846700    26.846700    117.754612    -41.251512    138.174822    142.917430    34.449933    38.251550    103.349800    -2803.700054    -130409.344074    76.503100    -4857.555829
142.200000    0.790000    124.570000    -37.460400    31.579800    19.214600    0.000000    0.000000    45.091523    42.018077    83.248435    126.817418    31.579800    31.579800    126.817418    -39.707818    144.711406    150.648634    39.563133    43.554800    118.689400    -2284.739135    -159024.595058    87.109600    -5035.642881
144.000000    0.800000    134.138000    -35.204000    35.746300    23.975300    0.000000    0.000000    52.829913    46.104087    87.935681    137.466962    35.746300    35.746300    137.466962    -38.532962    153.036719    160.246572    44.893433    49.467000    134.680300    -1760.484718    -189348.478611    98.934000    -5297.009162
145.800000    0.810000    143.958000    -30.599800    41.415100    28.560800    0.000000    0.000000    62.253446    51.104754    91.663801    148.512240    41.415100    41.415100    148.512240    -35.154040    159.790384    168.856440    51.591100    56.679100    154.773300    -526.064116    -216220.173789    113.358200    -5220.805305
147.600000    0.820000    153.075000    -25.020300    47.574900    33.476300    0.000000    0.000000    71.651733    56.402967    94.826238    159.159609    47.574900    47.574900    159.159609    -31.104909    165.593246    176.776530    58.543200    64.027350    175.629600    1141.544463    -235526.444816    128.054700    -4950.645084
149.400000    0.830000    163.634000    -18.467400    53.843200    37.965600    0.000000    0.000000    83.177800    61.988800    98.078404    171.232257    53.843200    53.843200    171.232257    -26.065657    171.889620    185.642629    66.336600    72.583300    199.009800    3352.952962    -240317.348498    145.166600    -4463.281315
151.200000    0.840000    173.832000    -10.434500    61.279800    42.093700    0.000000    0.000000    95.525328    67.872172    100.345608    182.992458    61.279800    61.279800    182.992458    -19.594958    176.630064    193.535350    74.892433    81.698750    224.677300    6427.236537    -219732.791743    163.397500    -3585.729584
153.000000    0.850000    183.819000    -1.223790    69.043200    46.530200    0.000000    0.000000    108.036594    74.558616    102.201146    194.860475    69.043200    69.043200    194.860475    -12.265265    180.751384    201.273587    83.879470    91.297605    251.638410    10216.942237    -165014.308921    182.595210    -2390.015366
154.800000    0.860000    194.770000    9.421370    77.296100    49.662800    0.000000    0.000000    122.902672    81.288698    103.063047    207.238076    77.296100    77.296100    207.238076    -3.046706    183.792781    208.778102    93.829157    102.095685    281.487470    15151.803086    -48804.252715    204.191370    -631.393469
156.600000    0.870000    205.648000    21.277100    86.418900    52.378100    0.000000    0.000000    138.385841    88.539259    103.055578    219.489068    86.418900    86.418900    219.489068    7.436032    185.623885    215.867130    104.448000    113.462550    313.344000    21242.745226    141046.680596    226.925100    1632.127701
158.400000    0.880000    216.251000    34.528500    96.070800    54.740500    0.000000    0.000000    154.152300    96.627200    102.102913    231.466558    96.070800    96.070800    231.466558    19.312942    186.055014    222.439782    115.616767    125.389750    346.850300    28562.887502    429465.327334    250.779500    4470.300313
160.200000    0.890000    226.998000    48.655700    105.963000    55.367500    0.000000    0.000000    171.241829    104.411871    99.501222    242.789005    105.963000    105.963000    242.789005    32.864695    184.571035    228.138999    127.205567    137.826850    381.616700    37188.279545    845498.542527    275.653700    7979.186532
162.000000    0.900000    238.549000    64.142700    116.456000    55.163300    0.000000    0.000000    189.470506    113.221194    95.884773    254.531988    116.456000    116.456000    254.531988    48.159712    182.097333    234.195866    139.715900    151.345850    419.147700    47508.451891    1427539.457345    302.691700    12258.187275
163.800000    0.910000    248.846000    81.056600    127.842000    53.928100    0.000000    0.000000    206.889817    123.012783    90.486029    264.683745    127.842000    127.842000    264.683745    65.218855    176.682716    238.848515    152.581533    164.951300    457.744600    59437.778903    2206855.996818    329.902600    17262.370714
165.600000    0.920000    259.326000    97.360300    138.483000    51.136900    0.000000    0.000000    224.673573    132.012727    83.825393    274.119998    138.483000    138.483000    274.119998    82.566302    170.611973    243.569072    165.056433    178.343150    495.169300    72028.063499    3134296.072074    356.686300    22633.074616
167.400000    0.930000    270.235000    114.808000    149.653000    47.040200    0.000000    0.000000    242.810034    142.232966    75.652044    283.362947    149.653000    149.653000    283.362947    101.680053    163.077325    248.638359    178.232000    192.521500    534.696000    86435.199543    4311856.030860    385.043000    28812.359464
169.200000    0.940000    278.700000    132.861000    161.238000    41.861500    0.000000    0.000000    258.169091    153.391909    65.765297    289.861643    161.238000    161.238000    289.861643    121.699357    152.292319    252.100238    190.933000    205.780500    572.799000    101635.248036    5687827.740531    411.561000    35275.975518
171.000000    0.950000    287.818000    147.389000    170.436000    35.217600    0.000000    0.000000    273.498621    161.708379    55.191402    296.155110    170.436000    170.436000    296.155110    139.051890    143.999441    256.636609    201.881000    217.603500    605.643000    115355.868104    7018712.619424    435.207000    41180.927852
172.800000    0.960000    295.879000    163.604000    180.569000    27.652800    0.000000    0.000000    286.924197    172.558803    43.231764    301.427247    180.569000    180.569000    301.427247    158.055753    133.545773    261.146885    213.350667    229.741500    640.052000    130610.696395    8602724.376982    459.483000    47642.310568
